Tamil,English
என,As
நான்,I
அவரது,His
என்று,That
அவர்,He
இருந்தது,There was
ஐந்து,Five
ம்,Sword
உள்ளன,There are
உடன்,With
அவை,They
இருக்கும்,Remain
மணிக்கு,At
ஒரு,A
வேண்டும்,Should
இந்த,This
இருந்து,From
மூலம்,By
சூடான,Warm
விக்சனரி,Wiktionary
ஆனால்,But
என்ன,What is
சில,Some
ஆகிறது,Becomes
அது,It
நீங்கள்,You
அல்லது,Or
இருந்தது,There was
தி,The
உள்ள,In
செய்ய,Do
மற்றும்,And
ஒரு,A
உள்ள,In
நாம்,We
முடியாது,Can not
வெளியே,Out
மற்ற,Other
இருந்தன,Were
இது,This is
செய்,Do
தங்கள்,Their
நேரம்,Time
என்றால்,If
சாப்பிடுவேன்,Will eat
எப்படி,How
என்றார்,said
ஒரு,A
ஒவ்வொரு,Each
சொல்ல,Say
இல்லை,No
தொகுப்பு,Collection
மூன்று,Three
வேண்டும்,Should
காற்று,Air
அதே,Same
மேலும்,Further
விளையாட,Play
சிறு,Minor
இறுதியில்,At the end
வைத்து,Keep
வீட்டில்,At home
படிக்க,Read
கையில்,Hand
துறைமுக,Port
பெரிய,Great
எழுத்துப்பிழை,Spell
சேர்க்க,Add
கூட,Too
நில,Land
இங்கே,Here
வேண்டும்,Should
பெரிய,Great
உயர்,High
போன்ற,Like
பின்பற்றவும்,Follow
செயல்,Action
ஏன்,Why
கேட்க,Hear
ஆண்கள்,Men
மாற்றம்,Change
சென்றார்,Went on
ஒளி,Light
வகையான,Kind
ஆஃப்,Off
வேண்டும்,Should
வீட்டில்,At home
படம்,Image
முயற்சி,Effort
அமெரிக்க,US
மீண்டும்,Again
விலங்கு,Animal
புள்ளி,Point
அம்மா,Mother
உலக,World
அருகில்,Adjacent
கட்ட,Build
சுய,Self
பூமியில்,On earth
தந்தை,Father
எந்த,Any
புதிய,Fresh
பணி,Work
பகுதி,Region
எடுத்து,Taking
கிடைக்கும்,Available
இடத்தில்,Place
செய்து,Done
வாழ,Live
எங்கே,Where
பின்னர்,Then
மீண்டும்,Again
சிறிய,Minor
மட்டும்,Only
சுற்று,Circuit
மனிதன்,Man
ஆண்டு,Annual
வந்தது,Came
நிகழ்ச்சி,Show
ஒவ்வொரு,Each
நல்ல,Good
எனக்கு,Me
கொடுக்க,Give
எங்கள்,Our
கீழ்,Under
பெயர்,Name
மிகவும்,Too
மூலம்,By
வெறும்,Just
வடிவம்,Shape
தண்டனை,Sentence
பெரும்,Greater
என்று,That
சொல்ல,Say
உதவும்,Help
குறைந்த,Less
வரி,Line
வேறுபடுகின்றன,Vary
இதையொட்டி,In turn
காரணம்,Cause
மிகவும்,Too
அர்த்தம்,Mean
முன்னால்,Ahead
நடவடிக்கை,Action
வலது,Right
சிறுவன்,Boy
பழைய,Older
மிகவும்,Too
அதே,Same
அவர்,He
அனைத்து,All
அங்கு,There
எப்போது,When
மேலே,Above
பயன்பாடு,Application
உங்கள்,Your
வழி,Way
பற்றி,About
பல,Several
பின்னர்,Then
அவர்கள்,They
எழுத,Write
என்று,That
போன்ற,Like
எனவே,So
இவை,These are
அவரது,His
நீண்ட,Longite
செய்ய,Do
விஷயம்,Thing
பார்க்க,See
அவரை,Him
இரு,Be
உள்ளது,Is there
பார்க்க,See
மேலும்,Further
நாள்,Day
முடியும்,Can
போ,Go
வா,Come
செய்தது,Done
பல,Several
ஒலி,Sound
எந்த,Any
மிகவும்,Too
மக்கள்,Population
என்னுடைய,Mine
மேல்,Over
எனக்கு தெரியும்,I know
தண்ணீர்,Water
விட,Than
அழைப்பு,Call
முதல்,First
யார்,Who
மே,May
கீழே,Down
பக்க,Side
வருகிறது,Coming
இப்பொழுது,Now
கண்டுபிடிக்க,Find out
தலைவர்,Leader
நிற்க,Stand
சொந்த,Native
பக்கம்,Page
வேண்டும்,Should
நாட்டின்,Country
காணப்படும்,Found
பதில்,Reply
பள்ளி,School
வளர,Grow
ஆய்வு,Study
இன்னும்,Still
அறிய,Learn
ஆலை,Plant
கவர்,Cover
உணவு,Diet
சூரிய,Solar
நான்கு,Four
இடையே,Between
மாநில,State
வைத்து,Keep
கண்,Eye
ஒருபோதும்,Never
கடந்த,Past
நாம்,We
நினைத்தேன்,I thought
நகரம்,City
மரத்தில்,Tree
கடந்து,Pass
பண்ணை,Farm
கடின,Hard
தொடக்கத்தில்,In the beginning
வலிமை,Strength
கதை,Story
எண்ணினர்,Thoughtful
இதுவரை,So far
கடல்,Marine
வரைய,Draw
விட்டு,Leaving
தாமதமாக,Late
ரன்,Run
இல்லை,No
போது,When
செய்தி,Message
நெருங்கிய,Close
இரவு,Dinner
உண்மையான,Actual
வாழ்க்கை,Life
சில,Some
வடக்கில்,North
புத்தகம்,Book
எடுத்து,Taking
நடந்தது,Happened
அறிவியல்,Science
சாப்பிட,Eat
அறையில்,In the room
நண்பர்,Friend
தொடங்கியது,Started
யோசனை,Idea
மீன்,Fish
மலை,Mountain
நிறுத்த,Stop
ஒருமுறை,Once
அடிப்படை,Base
செவி மடுத்து கேள்,Listen to Chevy
குதிரை,Horse
வெட்டு,Cut
உறுதியான,Steady
பார்க்க,See
வண்ண,Color
முகத்தை,Face
மரம்,Tree
முக்கிய,Main
திறந்த,Open
தெரியவில்லை,I do not know
ஒன்றாக,Together
அடுத்த,Next
வெள்ளை,White
குழந்தைகள்,Children
தொடங்கும்,Begin
கிடைத்தது,Got
நடக்க,Walk
உதாரணமாக,Example
எளிதாக்க,Ease
காகித,Paper
குழு,Group
எப்போதும்,Always
இசை,Music
அந்த,That
இரண்டு,Two
குறி,Signal
பெரும்பாலும்,Often
கடிதம்,Letter
வரை,Up
மைல்,Mile
ஆற்றில்,In the river
கார்,Car
அடி,Blow
பாதுகாப்பு,Security
இரண்டாவது,Second
போதுமான,Adequate
வெற்று,Empty
பெண்,Woman
வழக்கம்,Usual
இளம்,Teen
தயாராக,Ready
மேலே,Above
எப்போதும்,Always
சிவப்பு,Red
பட்டியலில்,List
எனினும்,However
உணர,Realize
பேச்சு,Speech
பறவை,Bird
விரைவில்,Soon
உடல்,Body
நாய்,Dog
குடும்ப,Family
நேரடி,Direct
போஸ்,Pose
விட்டு,Leaving
பாடல்,Song
அளவிட,Measure
கதவை,Door
தயாரிப்பு,Product
கருப்பு,Black
குறுகிய,Short
எண்,Numerical
வர்க்கம்,Class
காற்று,Air
கேள்வி,Question
நடக்கும்,Happen
முழுமையான,Complete
கப்பல்,Ship
பகுதி,Region
அரை,Half
ராக்,Rock
பொருட்டு,In order
தீ,Fire
தெற்கு,South
பிரச்சனை,Problem
துண்டு,Piece
கூறினார்,Said
தெரிந்தது,Knowing
கடந்து,Pass
முதல்,First
மேல்,Over
முழுவதும்,Across
ராஜா,King
தெருவில்,Street
அங்குல,Inch
பெருக்கவும்,Multiply
எதுவும்,Nothing
நிச்சயமாக,Definitely
தங்க,Gold
சக்கர,Wheel
முழு,Full
படை,Troops
நீல,Blue
பொருள்,Object
முடிவு,Decision
மேற்பரப்பு,Surface
ஆழமான,Deep
நிலவு,Moon
தீவின்,Island
கால்,Leg
அமைப்பு,System
பிஸியாக,Busy
சோதனை,Test
பதிவு,Registration
படகு,Boat
பொது,General
தங்க,Gold
சாத்தியம்,Potential
விமானம்,Aircraft
ஸ்தானத்தில்,At the stage
உலர்,Dry
தெரியவில்லை,I do not know
சிரிப்பு,Laughter
ஆயிரம்,Thousand
முன்பு,Previously
ஓடி,Run
பார்க்க,See
விளையாட்டு,Game
வடிவம்,Shape
சமன்,Equator
சூடான,Warm
மிஸ்,Miss
கொண்டு,Bring
வெப்ப,Heat
பனி,Ice
டயர்,Tire
கொண்டு வா,bring it
ஆம்,Yes
தொலைதூர,Distant
நிரப்பவும்,Fill
கிழக்கு,East
வண்ணம்,Color
மொழி,Language
மத்தியில்,Among
அலகு,Unit
அதிகாரத்தை,Power
நகரம்,City
நன்றாக,Well
நிச்சயமான,Definite
பறக்க,Fly
விழ,Fall
வழிவகுக்கும்,Lead to
அழ,Cry
இருண்ட,Dark
இயந்திரம்,Machine
குறிப்பு,Note
காத்திருக்க,Wait
திட்டம்,Plan
எண்ணிக்கை,Count
நட்சத்திர,Star
பெட்டியில்,Box
பெயர்ச்சொல்,Noun
துறையில்,Field
மீதமுள்ள,Remaining
சரியான,Proper
முடிந்தது,Done
பவுண்டு,Pound
செய்து,Done
அழகு,Beauty
இயக்கி,Driver
நின்று,Standing
கொண்டிருக்கிறது,Contains
முன்,Before
கற்று,Learn
வாரம்,Week
இறுதி,Final
கொடுத்தது,Gave
பச்சை,Green
ஓ,O
விரைவான,Quick
அபிவிருத்தி,Development
கடல்,Marine
சூடான,Warm
இலவச,Free
நிமிடம்,Minute
வலுவான,Strong
சிறப்பு,Specialty
மனதில்,Mind
பின்னால்,Behind
தெளிவான,Clear
வால்,Tail
உற்பத்தி,Production
உண்மை,Truth
விண்வெளி,Space
கேட்டது,Heard
சிறந்த,Best
மணி,Bell
சிறந்த,Best
உண்மை,Truth
போது,When
நூறு,Hundred
ஐந்து,Five
நினைவில்,Remember
படி,Step
ஆரம்ப,Initial
நடத்த,Hold
மேற்கே,West
தரையில்,Ground
வட்டி,Interest
அடைய,Achieve
வேகமாக,Faster
வினை,Verb
பாட,Sing
கேட்க,Hear
ஆறு,River
அட்டவணை,Catalog
பயண,Travel
குறைவான,Less
காலையில்,In the morning
பத்து,Ten
எளிமையான,Simplified
பல,Several
உயிர்,Life
நோக்கி,Toward
போர்,War
போட,Lay
எதிரான,Adverse
அமைப்பு,System
மெதுவாக,Slow
சென்டர்,Center
காதல்,Love
நபர்,Person
பணத்தை,Cash
சேவை,Service
தோன்றும்,Appear
சாலை,Road
வரைபடத்தை,Map
மழை,Rain
ஆட்சி,Regime
ஆட்சி,Regime
இழுக்க,Pull
குளிர்,Cold
அறிவிப்பு,Announcement
குரல்,Voice
ஆற்றல்,Energy
வேட்டை,Hunting
சாத்தியமான,Potential
படுக்கையில்,In bed
சகோதரர்,Brother
முட்டை,Egg
சவாரி,Ride
செல்,Go
நம்பிக்கை,Confidence
ஒருவேளை,Perhaps
எடுக்க,Take
திடீர்,Sudden
எண்ண,Count
சதுரம்,Square
காரணம்,Cause
நீளம்,Length
பிரதிநிதித்துவம்,Representation
கலை,Art
பொருள்,Object
பகுதி,Region
அளவு,Quantity
மாறுபடுகிறது,Varies
குடியேற,Settle
பேச,Talk
எடை,Weight
பொது,General
பனி,Ice
விஷயம்,Thing
வட்டத்தின்,Circle
ஜோடி,Pair
சேர்க்கிறது,Adds
பிளவை,Split
அசையாக,Stiff
உணர்ந்தேன்,Felt
பெரும்,Greater
பந்து,Ball
இதுவரை,So far
அலை,Wave
கைவிட,Drop
இதய,Cardiac
நான்,I
தற்போதைய,Current
கனரக,Heavy
நடன,Dance
இயந்திரம்,Machine
நிலையை,Status
கை,Hand
பரந்த,Wide
புறப்பட்டது,Departure
பொருள்,Object
பகுதி,Region
காட்டில்,In the forest
உட்கார,Sit
இனம்,Race
சாளர,Window
கடையில்,In the store
கோடை,Summer
ரயில்,Train
தூக்கம்,Sleep
நிரூபிக்க,Prove
தனி,Solitary
காலை,morning
உடற்பயிற்சி,Exercise
சுவர்,Wall
ப,Catch
ஏற்ற,Load
விரும்புகிறேன்,Would like to like
வானத்தில்,In the sky
குழு,Group
மகிழ்ச்சி,Joy
குளிர்காலத்தில்,In the winter
சனி,Saturn
எழுதப்பட்ட,Written
காட்டு,Show
கருவி,Tool
வைத்து,Keep
கண்ணாடி,Glass
புல்,Grass
மாடு,Cow
வேலை,Work
விளிம்பில்,Edge
அடையாளம்,Sign
வருகை,Visit
கடந்த,Past
மென்மையான,Smooth
வேடிக்கை,Fun
பிரகாசமான,Bright
எரிவாயு,Gas
வானிலை,Weather
மாதம்,Month
மில்லியன்,Million
தாங்க,Bear
பூச்சு,Coating
சந்தோஷமாக,Happy
நம்பிக்கை,Confidence
மலர்,Flower
உடை,Dress
விசித்திரமான,Eccentric
சென்று,Go
வர்த்தக,Business
மெல்லிசை,Melole
பயணம்,Journey
அலுவலகத்தில்,in office
பெற,To get
வரிசையில்,In order
வாயில்,Gate
துல்லியமான,Accurate
சின்னம்,Avatar
இறக்க,Die
குறைந்தது,At least
சிக்கல்,Trouble
கத்தி,Knife
தவிர,Apart
எழுதியது,Wrote
விதை,Seed
தொனி,Tone
சேர,Join
பரிந்துரைக்கிறது,Recommends
சுத்தமான,Clean
இடைவெளி,Interval
பெண்,Woman
முற்றத்தில்,In the yard
உயரும்,Rise
கெட்ட,Bad
அடியாக,Blow
எண்ணெய்,Oil
இரத்த,Blood
தொட,Touch
வளர்ந்தது,Grew
சதவீதம்,Percentage
கலந்து,Attend
அணி,Matrix
கம்பி,Wire
செலவு,Cost
இழந்தது,Lost
பழுப்பு,Brown
அணிய,Wear
தோட்டத்தில்,Garden
சம,Equal to
அனுப்பி,Sent
தேர்வு,Chosen
விழுந்தது,Fell
பொருந்தும்,Apply
பாயும்,Flow
நியாயமான,Reasonable
வங்கி,Bank
சேகரிக்க,Collect
காப்பாற்ற,Save
கட்டுப்பாடு,Control
தசம,Decimal
காது,Ear
வேறு,Different
மிகவும்,Too
வெடித்தது,Erupted
வழக்கு,Case
நடுத்தர,Medium
கொலை,Murder
மகன்,Son
ஏரியில்,Lake
கணம்,Moment
அளவில்,Level
உரத்த,Loud
வசந்த,Spring
அவதானிக்கவும்,Observe
குழந்தை,Child
நேராக,Straight
மெய்,Consonant
தேசிய,Nation
அகராதியில்,Dictionary
பால்,Milk
வேக,Pace
முறை,Method
உறுப்பு,Element
செலுத்த,Pay
வயது,Age
பிரிவில்,In the section
ஆடை,Clothing
மேகம்,Cloud
ஆச்சரியம்,Surprise
அமைதியான,Quiet
கல்,Lith
சிறிய,Minor
ஏறு மெதுவாக தொற்றி ஏறு,Climb
குளிர்,Cold
வடிவமைப்பு,Design
ஏழை,Poor
நிறைய,A lot of
சோதனை,Test
கீழே,Down
முக்கிய,Main
இரும்பு,Iron
ஒற்றை,Single
குச்சி,Stick
பிளாட்,Flat
இருபத்தி,Twenty
தோல்,Leather
சிரிப்பு,Laughter
மடி,Fold
ஓட்டை,Hole
குதிக்க,Jump
குழந்தை,Child
எட்டு,Eight
கிராமம்,Village
சந்திக்க,To meet
ரூட்,Root
வாங்க,Buy
உயர்த்த,Raise
தீர்க்க,Solve
உலோக,Metal
என்பதை,Whether
மிகுதி,Push
ஏழு,Seven
பத்தி,Paragraph
மூன்றாவது,Third
போகலாமா,Can we go
நானும்,Me too
முடி,Hair
விவரிக்க,Describe
சமையற்காரர்,Cook
தரையில்,Ground
ஒன்று,One
இதன் விளைவாக,Because of this
எரிக்க,Burn
மலை,Mountain
பாதுகாப்பான,Safe
பூனை,Cat
நூற்றாண்டின்,Century
கருத்தில்,Consider
வகை,Type
சட்ட,Frame
பிட்,Bit
கடற்கரையில்,On the beach
பிரதியை,Copy
சொற்றொடர்,Phrase
அமைதியாக,Quietly
உயரம்,Height
மணல்,Sand
மண்,Earth
ரோல்,Roll
வெப்பநிலை,Temperature
விரல்,Finger
தொழில்,Industry
மதிப்பு,Respect
சண்டை,Fight
பொய்யை,Lie
அடிக்க,Beat
தூண்ட,Induced
இயற்கை,Nature
பார்வை,Vision
உணர்வு,Sense
தலைநகர்,Capital
இல்லை,No
நாற்காலியில்,Chair
ஆபத்து,Danger
பழம்,Fruit
பணக்கார,Rich
தடித்த,Thick
சிப்பாய்,Soldier
செயல்முறை,Procedure
செயல்பட,Operate
நடைமுறையில்,Practice
தனி,Solitary
கடினமான,Hard
மருத்துவர்,Doctor
தயவு செய்து,please
காப்பாற்று,Save
நண்பகல்,Lunch
பயிர்,Crop
நவீன,Modern
உறுப்பு,Element
வெற்றி,Success
மாணவர்,Student
மூலையில்,Corner
கட்சி,Party
வழங்கல்,Supply
அதன்,Its
கண்டறிவது,Finding
மோதிரத்தை,Ring
பாத்திரம்,Character
பூச்சி,Insect
பிடித்து,Caught
காலம்,Period
குறிக்கிறது,Indicates
ரேடியோ,Radio
பேசினார்,Talked
அணுவின்,Atom
மனித,Human
வரலாற்றில்,In history
விளைவு,Effect
மின்சார,Electric
எதிர்பார்க்க,Expect
எலும்பு,Bone
ரயில்,Train
கற்பனை,Imagination
எப்படி,How
ஒப்புக்கொள்கிறேன்,Agree
இவ்வாறு,Thus
மென்மையான,Smooth
பெண்,Woman
கேப்டன்,Captain
யூகிக்க,Guess
தேவையான,Necessary
கூர்மையான,Sharp
வலதுசாரி,Right wing
உருவாக்க,Generate
அண்டை,Neighbor
கழுவும்,Wash
பேட்டிங்,Batting
மாறாக,Contrary
கூட்டத்தில்,Crowd
சோளம்,Corn
ஒப்பிட்டு,Compare
கவிதையை,Poetry
சரம்,String
மணி,Bell
சார்ந்திருக்கிறது,Depends
இறைச்சி,Meat
துடைப்பான்,Wiper
குழாய்,Pipe
பிரபலமான,Popular
டாலர்,Dollar
ஸ்ட்ரீம்,Stream
பயம்,Afraid
பார்வை,Vision
மெல்லிய,Thin
முக்கோண,Triangle
கிரகத்தின்,Planet
அவசரம்,Hurry
தலைமை,Chief
காலனி,Colony
கடிகார,Clock
என்னுடைய,Mine
டை,Tie
நுழைய,Enter
முக்கிய,Main
புதிய,Fresh
தேடல்,Search
அனுப்பு,Send
மஞ்சள்,Yellow
துப்பாக்கி,Gun
அனுமதிக்க,Allow
அச்சு,Axial
இறந்த,Died
ஸ்பாட்,Spot
பாலைவன,Desert
வழக்கு,Case
நடப்பு,Current
லிப்ட்,Lift
உயர்ந்தது,Rose
வரும்,Coming
மாஸ்டர்,Master
பாடல்,Song
பெற்றோர்,Parent
கரையில்,On the shore
பிரிவு,section
தாள்,Paper
பொருள்,Object
சாதகமாக,Positively
இணைக்க,Connect
பின்,Post
செலவு,Cost
நாண்,Chordaia
கொழுப்பு,Cholesterol
மகிழ்ச்சி,Joy
அசல்,Original
பங்கு,Stock
நிலையம்,Station
தந்தை,Father
ரொட்டி,Bread
வசூலிக்க,Charging
முறையான,Proper
பட்டியில்,Bar
வாய்ப்பை,Offer
பிரிவு,section
அடிமை,Slave
மூழ்கு,Sink
உடனடி,Instant
சந்தை,Market
பட்டம்,Degree
விரிவுப்படுத்த,Populate
குஞ்சு,Chick
அன்பே,Dear
பகைவன்,Enemy
பதில்,Reply
பானம்,Drink
ஏற்படும்,Occur
ஆதரவு,Support
பேச்சு,Speech
இயற்கையின்,Nature
எல்லை,Boundary
நீராவி,Steam
இயக்கம்,Motion
பாதை,Path
திரவ,Liquid
புகுபதிகை,Log in
பொருள்,Object
ஈவு,Yield
பற்கள்,Teeth
ஷெல்,Shell
கழுத்தில்,In the neck
ஆக்சிஜன்,Oxygen
சர்க்கரை,Sugar
மரணம்,Death
அழகான,Pretty
திறன்,Capacity
பெண்கள்,Women
சீசன்,Season
தீர்வு,Solution
கிரேடு,Grade
வெள்ளி,Silver
நன்றி,Thanks
கிளை,Branch
போட்டியில்,Match
மை,Ink
குறிப்பாக,Particularly
அத்தி,Fig
பயம்,Afraid
பிரம்மாண்டமான,Gigantic
அக்கா,Sister
உருக்கு,The
விவாதிக்க,To discuss
முன்னோக்கி,Forward
இதே,Similar
வழிகாட்ட,Guide
அனுபவம்,Experience
மதிப்பெண்,Score
ஆப்பிள்,Apple
வாங்கி,Bought
தலைமையிலான,Headed
சுருதி,Pitch
கோட்,Coat
வெகுஜன,Mass
கார்டு,Card
இசைக்குழு,Band
கயிற்றில்,Rope
சீட்டு,Slip
வெற்றி,Success
கனவு,Dream
மாலை,Evening
நிலை,Position
ஜூன்,June
கருவி,Tool
மொத்த,Bulk
அடிப்படை,Base
மணம்,Smell
பள்ளத்தாக்கில்,Valley
அல்லது,Or
இரட்டை,Twin
இருக்கை,Seat
தொடர்ந்து,Following
தொகுதி,Block
விளக்கப்படம்,Chart
தொப்பி,Hat
விற்க,To sell
வெற்றி,Success
நிறுவனம்,Company
கழித்தால்,Deducted
நிகழ்வு,Event
குறிப்பாக,Particularly
ஒப்பந்தம்,Contract
து,To
கால,Term
எதிர்,Opposite
மனைவி,Wife
காலணி,Shoe
தோள்பட்டை,shoulder
பரவல்,Diffusion
ஏற்பாடு,Arrangement
முகாம்,Camp
கண்டுபிடித்தல்,Inventory
பருத்தி,Cotton
பிறந்த,Born
தீர்மானிக்க,To determine
பைண்டு அளவு,Quartet
ஒன்பது,Nine
டிரக்,Truck
சத்தம்,Noise
நிலை,Position
வாய்ப்பு,Chance
சேகரிக்க,Collect
கடையை,Shop
நீட்டிக்க,Extend
தூக்கி,Lift
பிரகாசி,Shine
சொத்து,Property
பத்தியில்,Passage
மூலக்கூறின்,Molecule
தேர்ந்தெடு,Select
தவறு,Mistake
சாம்பல்,Gray
மீண்டும்,Again
தேவைப்படுகிறது,needed
பரந்த,Wide
தயார்,Prepare
உப்பு,Salt
மூக்கு,Nose
பன்மை,Plurality
கோபத்தை,Anger
கூற்று,Claim
கண்டத்தின்,Continent